Plant_ID,Height_cm,Leaf_Count,New_Growth_Count,Health_Notes,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score
Begonia maculata,29.8,34,7,Brittle leaves,163,1,Filtered sunlight through curtain,26.8,77.9,Organic,52,None,Low,17.7,Silty,4
Anthurium andraeanum,23.26,25,5,Yellowing leaves,69,5,Filtered sunlight through curtain,18.7,64.8,Chemical,28,Whiteflies,Moderate,16.7,Sandy,4
Monstera deliciosa,23.31,21,7,Wilting,65,3,6h full sun,22.3,59.8,Chemical,22,None,Low,20.2,Loamy,2
Epipremnum aureum,26.5,44,6,New bud,194,1,Low light corner,23.2,53,Chemical,56,Aphids,None,48.3,Silty,4
Zamioculcas zamiifolia,35.7,23,4,New bud,257,5,Low light corner,22.1,48.2,Liquid feed,49,None,Moderate,24.8,Chalky,1
Aloe vera,26.9,19,8,Leaf drop,68,3,6h full sun,22.3,47.7,None,20,None,Low,11.1,Sandy,4
Epipremnum aureum,33.59,13,3,Dark green color,425,5,Low light corner,29.6,61.8,Organic,42,Whiteflies,High,57.2,Clay,2
Philodendron hederaceum,26.51,14,5,New bud,441,4,6h full sun,21.4,67.6,Organic,9,Fungus gnats,Low,18.5,Chalky,4
Zamioculcas zamiifolia,23.88,48,1,None,215,6,3h direct morning sun,31.3,63.9,Chemical,75,Fungus gnats,Moderate,10.5,Chalky,5
Calathea orbifolia,31.41,35,1,Leaf drop,87,4,Filtered sunlight through curtain,25.3,39.9,None,29,Whiteflies,None,21.9,Chalky,3
Schefflera arboricola,31.03,27,1,Brittle leaves,230,5,Filtered sunlight through curtain,24.3,54.7,None,50,Whiteflies,Moderate,21.8,Chalky,1
Dieffenbachia seguine,23.3,34,9,Yellowing leaves,398,3,Low light corner,25.4,69.6,Compost,32,Whiteflies,None,31.1,Clay,5
Zamioculcas zamiifolia,17.51,37,6,New bud,154,1,Indirect light all day,31.6,53.8,None,17,Aphids,Low,56,Silty,5
Begonia maculata,28.42,13,1,None,149,2,Filtered sunlight through curtain,21,56.8,None,77,Spider mites,Low,54,Silty,2
Codiaeum variegatum,25.78,5,1,Yellowing leaves,139,1,6h full sun,20.6,68.6,Organic,21,None,Moderate,32.8,Silty,3
Dracaena trifasciata,19.45,48,8,Yellowing leaves,464,2,Indirect light all day,21.7,63.1,None,63,Whiteflies,High,30.5,Loamy,3
Spathiphyllum wallisii,16.58,39,6,Dark green color,349,2,Indirect light all day,24.1,50.5,None,20,Whiteflies,Low,37.8,Clay,1
Philodendron hederaceum,29.1,15,2,New bud,493,3,Filtered sunlight through curtain,18.8,74.8,Organic,0,Whiteflies,High,22.2,Clay,2
Zamioculcas zamiifolia,30.5,38,2,Yellowing leaves,381,5,Filtered sunlight through curtain,24.1,38.1,None,14,Fungus gnats,High,12.6,Sandy,1
Anthurium andraeanum,21.4,20,6,Dark green color,450,1,Filtered sunlight through curtain,29.1,79.8,Organic,35,Whiteflies,Moderate,57,Peaty,4
Begonia maculata,19.2,13,4,Dark green color,128,5,6h full sun,24.5,35.9,Compost,46,None,Low,19.3,Silty,5
Dracaena trifasciata,16.7,36,9,New bud,122,4,Indirect light all day,23.1,30.7,Liquid feed,53,Whiteflies,High,19.9,Peaty,1
Sansevieria cylindrica,28.82,19,5,Dark green color,472,3,Low light corner,22.1,74.5,Organic,85,None,Low,33.6,Sandy,5
Chlorophytum comosum,16.96,16,7,New bud,475,3,6h full sun,26.7,42.2,Organic,31,Aphids,None,34.6,Clay,2
Ficus lyrata,47.41,37,8,None,225,4,3h direct morning sun,21.5,66.5,None,57,Spider mites,High,10.9,Sandy,4
Dracaena trifasciata,20.9,49,0,New bud,445,1,Filtered sunlight through curtain,29.5,70.6,Organic,45,Fungus gnats,Moderate,17.4,Chalky,2
Epipremnum aureum,0.75,18,2,Wilting,145,6,Indirect light all day,29.8,72.9,Chemical,53,None,Moderate,28.9,Sandy,4
Calathea orbifolia,24.7,12,6,Yellowing leaves,394,4,6h full sun,24.8,79.6,Chemical,32,Aphids,High,44.2,Sandy,4
Sansevieria cylindrica,24.27,12,5,None,152,1,3h direct morning sun,24,44.7,Compost,38,Spider mites,Low,21.4,Chalky,5
Ficus lyrata,36.12,31,6,Strong stem,451,2,6h full sun,27.1,65.5,Organic,22,Spider mites,None,31.2,Peaty,2
Spathiphyllum wallisii,27.88,16,7,New bud,273,3,6h full sun,27.3,35.8,None,42,Spider mites,None,37.9,Chalky,2
Calathea orbifolia,16.66,5,5,Yellowing leaves,55,1,Low light corner,21.6,50.3,None,54,None,Moderate,54.4,Loamy,1
Zamioculcas zamiifolia,22.14,47,2,Brittle leaves,171,5,Low light corner,22.4,72.4,Liquid feed,1,Aphids,Moderate,26.3,Sandy,2
Dracaena trifasciata,28.27,44,1,Dark green color,285,5,6h full sun,20,48.4,Compost,65,Whiteflies,Low,16.7,Sandy,1
Anthurium andraeanum,3.35,46,6,Leaf drop,476,3,3h direct morning sun,25.2,59.6,None,37,Aphids,Moderate,34.5,Peaty,3
Schefflera arboricola,38.39,15,0,New bud,165,4,Indirect light all day,26,55.2,Liquid feed,28,Aphids,Low,47.3,Clay,3
Monstera deliciosa,16.69,43,2,Dark green color,212,6,Indirect light all day,20,62.3,None,66,Aphids,High,15.5,Chalky,3
Chlorophytum comosum,39.17,47,3,Dark green color,275,4,Filtered sunlight through curtain,22.6,78.6,Liquid feed,70,None,None,31.2,Clay,2
Aglaonema commutatum,28.92,35,0,Dark green color,279,1,Filtered sunlight through curtain,20,32.8,Chemical,35,None,High,10.9,Loamy,2
Sansevieria cylindrica,31.3,21,4,Dark green color,231,4,Indirect light all day,21.3,58.7,Chemical,28,None,Moderate,11.7,Chalky,1
Spathiphyllum wallisii,36.49,37,9,Dark green color,298,3,6h full sun,25.7,73.2,None,36,Aphids,None,34.1,Loamy,4
Sansevieria cylindrica,30.73,36,2,New bud,367,1,6h full sun,21.8,54.1,Compost,99,None,None,24.9,Loamy,1
Aloe vera,31.73,33,1,Brittle leaves,259,2,Low light corner,23.1,33.9,Organic,86,Spider mites,High,52.3,Loamy,3
Epipremnum aureum,23.36,25,2,Strong stem,193,4,Low light corner,19.1,58,Compost,44,None,Low,40.1,Silty,1
Aglaonema commutatum,28.72,25,7,Wilting,441,4,Filtered sunlight through curtain,24.6,46.6,Compost,15,Fungus gnats,None,32.7,Chalky,4
Epipremnum aureum,19.13,44,5,Dark green color,394,6,Indirect light all day,23.9,37.7,Organic,30,None,Low,30.4,Chalky,2
Spathiphyllum wallisii,21.57,27,6,Dark green color,145,1,6h full sun,21.8,72.5,Chemical,33,None,High,34.9,Silty,1
Monstera deliciosa,44.65,10,5,Wilting,431,5,Indirect light all day,23.4,56.1,Chemical,49,None,High,12,Peaty,3
Aglaonema commutatum,16.92,26,5,Brittle leaves,395,4,3h direct morning sun,24.5,76.7,Organic,64,None,Low,54.6,Silty,3
Monstera deliciosa,26.54,42,2,None,293,3,Indirect light all day,21.6,70.3,Liquid feed,81,Fungus gnats,High,59.9,Sandy,2
Spathiphyllum wallisii,26.13,41,7,Brittle leaves,135,4,3h direct morning sun,19.6,64.6,Compost,61,Whiteflies,None,19.1,Clay,1
Schefflera arboricola,21.89,49,6,None,464,6,Low light corner,29.4,30.3,None,42,None,High,16,Clay,4
Epipremnum aureum,30.14,12,6,New bud,443,2,Low light corner,22.1,51.4,Chemical,55,Spider mites,High,17.2,Loamy,2
Monstera deliciosa,30.9,45,5,Yellowing leaves,233,6,Filtered sunlight through curtain,23.7,39.9,None,14,Fungus gnats,None,43.1,Chalky,1
Nephrolepis exaltata,15.74,39,4,Leaf drop,170,4,Indirect light all day,27,75.5,Organic,47,Whiteflies,Low,43.1,Chalky,5
Sansevieria cylindrica,26.01,15,9,Leaf drop,381,5,Indirect light all day,34.6,38.7,None,48,None,High,52.4,Loamy,3
Aglaonema commutatum,14.18,28,7,Yellowing leaves,141,4,3h direct morning sun,20.3,44.3,None,80,Whiteflies,Low,47.6,Sandy,4
Dracaena trifasciata,32.89,25,4,New bud,119,1,Low light corner,25.3,55.8,Compost,43,Spider mites,None,32.5,Clay,4
Chlorophytum comosum,26.76,6,8,Leaf drop,453,4,3h direct morning sun,21.9,43.2,Organic,9,Fungus gnats,Low,40.6,Silty,4
Anthurium andraeanum,25.82,44,8,Brittle leaves,182,5,Low light corner,22.4,40.5,None,19,Fungus gnats,Low,44.4,Peaty,3
Peperomia obtusifolia,31.59,23,0,Wilting,328,1,3h direct morning sun,21.8,60,Chemical,69,Whiteflies,Moderate,35.6,Sandy,1
Tradescantia zebrina,22.24,43,5,Yellowing leaves,186,3,Low light corner,20.6,34.4,Organic,7,None,Moderate,33.8,Chalky,2
Philodendron hederaceum,34.14,32,6,Brittle leaves,363,1,3h direct morning sun,23.9,32.9,Chemical,44,Aphids,High,42.3,Loamy,1
Tradescantia zebrina,15.52,21,2,Strong stem,236,6,Low light corner,19.6,48.6,Liquid feed,33,Fungus gnats,Moderate,37.9,Clay,2
Aglaonema commutatum,39.12,10,6,New bud,270,2,3h direct morning sun,26.8,66,None,95,Aphids,Moderate,42.2,Loamy,4
Schefflera arboricola,19.49,23,6,Yellowing leaves,487,6,Indirect light all day,24.2,57.7,Organic,50,Fungus gnats,Moderate,40.6,Chalky,1
Tradescantia zebrina,8.04,42,1,Leaf drop,95,1,Filtered sunlight through curtain,25.3,51.1,Chemical,3,None,Low,46,Loamy,4
Aglaonema commutatum,21.71,32,6,New bud,327,3,3h direct morning sun,22.6,58.3,None,38,None,Low,42.1,Silty,5
Sansevieria cylindrica,20.58,6,0,Wilting,241,4,Filtered sunlight through curtain,22.9,48.3,Compost,83,Fungus gnats,Moderate,36,Clay,4
Nephrolepis exaltata,21.64,42,4,New bud,57,1,Indirect light all day,24.9,76.8,Chemical,23,Whiteflies,None,44.1,Loamy,4
Epipremnum aureum,27.32,41,8,New bud,428,6,Indirect light all day,20.5,32.7,Chemical,87,None,Moderate,32.5,Clay,2
Tradescantia zebrina,35.98,8,6,Wilting,325,1,Low light corner,22.9,63.7,Liquid feed,54,None,None,22.1,Loamy,5
Anthurium andraeanum,23.08,26,6,Dark green color,228,1,Filtered sunlight through curtain,21.4,74.6,Compost,25,Spider mites,Low,10.1,Loamy,4
Codiaeum variegatum,18.08,30,1,Wilting,383,1,6h full sun,21.3,70.2,Liquid feed,24,None,None,38,Clay,4
Sansevieria cylindrica,13.73,47,7,Brittle leaves,88,3,Low light corner,17.7,39.2,Compost,35,Spider mites,Low,39.5,Silty,5
Chlorophytum comosum,20.32,40,2,New bud,342,5,Filtered sunlight through curtain,28,44.8,Chemical,70,None,None,58.6,Loamy,5
Nephrolepis exaltata,6.12,17,7,None,227,5,3h direct morning sun,21.9,65.9,Liquid feed,73,None,Low,28.1,Silty,1
Sansevieria cylindrica,17.75,36,2,Wilting,211,1,3h direct morning sun,27.5,34.2,None,57,Whiteflies,Low,29.7,Sandy,2
Aglaonema commutatum,37.44,21,9,Dark green color,380,3,Indirect light all day,27.2,70.6,Compost,11,Whiteflies,Moderate,20.1,Peaty,5
Ficus lyrata,16.77,45,6,Brittle leaves,423,3,6h full sun,20.1,65.9,Chemical,0,None,High,13.5,Sandy,5
Nephrolepis exaltata,31.29,40,1,None,153,1,3h direct morning sun,20.7,66.5,Organic,49,Fungus gnats,High,48.6,Peaty,3
Spathiphyllum wallisii,12.74,23,3,None,210,6,Filtered sunlight through curtain,31.7,35,Compost,24,Fungus gnats,Low,22.5,Sandy,5
Aloe vera,42.71,39,5,Yellowing leaves,336,6,Filtered sunlight through curtain,29.3,65.9,Compost,79,None,Moderate,40.4,Peaty,2
Sansevieria cylindrica,43.38,44,8,Wilting,172,2,3h direct morning sun,23.9,64,None,4,Fungus gnats,High,44.4,Loamy,4
Zamioculcas zamiifolia,30.91,32,4,Wilting,103,1,Filtered sunlight through curtain,24.8,71.5,Compost,82,None,High,33.6,Clay,4
Ficus lyrata,44.91,5,8,New bud,477,2,Filtered sunlight through curtain,22.1,32.1,Compost,67,Whiteflies,Moderate,53.8,Clay,4
Tradescantia zebrina,28.56,46,4,Brittle leaves,83,6,Indirect light all day,25.3,31.2,None,5,Aphids,Moderate,32.2,Chalky,4
Aglaonema commutatum,32.69,22,9,Yellowing leaves,291,6,6h full sun,21.8,48.7,None,25,Spider mites,High,24.2,Peaty,3
Spathiphyllum wallisii,37.62,44,7,Strong stem,427,1,Indirect light all day,17.9,37.4,Liquid feed,54,Fungus gnats,High,54.8,Chalky,5
Nephrolepis exaltata,26.8,37,0,Strong stem,162,2,6h full sun,20,57.9,Chemical,38,Fungus gnats,None,53.1,Silty,4
Monstera deliciosa,9.48,16,6,Leaf drop,367,2,Filtered sunlight through curtain,24.1,75.9,Chemical,8,Whiteflies,None,18.2,Silty,1
Begonia maculata,32.89,12,3,Wilting,72,1,6h full sun,20.6,49.6,Liquid feed,44,Fungus gnats,Low,11.3,Chalky,4
Dracaena trifasciata,20.28,28,4,Wilting,95,2,Filtered sunlight through curtain,23.8,72.2,Chemical,13,None,High,14.5,Peaty,5
Ficus lyrata,21.02,20,5,Yellowing leaves,361,4,Filtered sunlight through curtain,20.8,30,Compost,54,None,Moderate,24.3,Clay,4
Aloe vera,27.98,8,4,Dark green color,184,6,Indirect light all day,21.7,38.4,Liquid feed,8,Aphids,Moderate,58.6,Peaty,3
Anthurium andraeanum,30.66,42,0,Strong stem,167,5,Indirect light all day,26.6,31.5,Liquid feed,14,Aphids,High,37.9,Silty,2
Monstera deliciosa,26.5,48,8,Leaf drop,238,3,Low light corner,24.7,46.4,Chemical,36,Aphids,Low,28.7,Loamy,2
Calathea orbifolia,31.36,31,1,Yellowing leaves,180,2,3h direct morning sun,24,75.4,Organic,49,None,Moderate,54.4,Chalky,5
Monstera deliciosa,17.93,13,8,Wilting,471,2,Low light corner,26.6,34.8,Chemical,83,Aphids,High,32.7,Chalky,2
Calathea orbifolia,24.57,20,9,Strong stem,261,3,Low light corner,25.4,60.3,Organic,71,Aphids,High,25.8,Silty,2
Ficus lyrata,33.49,16,1,Brittle leaves,467,2,6h full sun,28.3,52.6,Liquid feed,95,None,Low,57.1,Peaty,1
Dieffenbachia seguine,42.73,35,8,Leaf drop,162,3,Filtered sunlight through curtain,22.6,76.9,Organic,20,Whiteflies,High,52.5,Chalky,5
Epipremnum aureum,46.26,28,5,New bud,93,1,Filtered sunlight through curtain,22.7,36.1,Compost,56,Fungus gnats,Moderate,52.2,Clay,5
Nephrolepis exaltata,29.33,18,8,Strong stem,177,4,Filtered sunlight through curtain,20.1,40.6,None,18,Spider mites,None,35.6,Chalky,2
Dracaena trifasciata,33.4,49,5,Leaf drop,413,4,3h direct morning sun,22.7,31.5,Organic,92,None,Low,49.5,Peaty,2
Aloe vera,44.82,29,5,Yellowing leaves,207,6,6h full sun,26.9,51.7,None,57,None,High,19,Silty,2
Spathiphyllum wallisii,18.29,38,1,New bud,322,5,6h full sun,27.9,43.9,Compost,94,Spider mites,Low,38.7,Clay,3
Epipremnum aureum,31.3,7,7,Leaf drop,364,2,Filtered sunlight through curtain,26.9,73.5,None,5,Spider mites,High,59.2,Clay,4
Dieffenbachia seguine,32.68,28,2,Leaf drop,443,5,Low light corner,18.6,60.2,Compost,3,Aphids,None,24.5,Chalky,3
Peperomia obtusifolia,39.48,46,6,None,404,1,3h direct morning sun,27.2,60.7,None,42,Spider mites,Low,49.7,Peaty,5
Chlorophytum comosum,13.63,13,4,None,389,4,Low light corner,18.5,56.6,None,92,Fungus gnats,High,34.5,Chalky,1
Nephrolepis exaltata,15.61,30,2,None,451,1,Indirect light all day,26.7,34.6,Chemical,41,Fungus gnats,None,12,Loamy,4
Philodendron hederaceum,25.21,24,0,Wilting,94,1,6h full sun,22.9,52.3,Organic,2,Fungus gnats,Moderate,48.2,Silty,1
Aglaonema commutatum,28.78,44,7,Dark green color,157,2,6h full sun,26.1,80,None,0,Fungus gnats,High,18.4,Loamy,5
Peperomia obtusifolia,36.23,14,2,Strong stem,268,1,Low light corner,20,71.8,Liquid feed,54,Fungus gnats,None,41.6,Clay,5
Schefflera arboricola,30.18,23,1,Wilting,492,4,3h direct morning sun,27.5,74.7,Chemical,14,Aphids,None,14.3,Chalky,1
Philodendron hederaceum,23.49,7,0,Brittle leaves,367,5,6h full sun,19.6,71.2,Organic,46,None,Low,57.3,Loamy,1
Spathiphyllum wallisii,29.16,28,3,New bud,364,4,Low light corner,22,35.2,Chemical,84,Spider mites,High,24.6,Sandy,1
Aloe vera,28.01,9,7,Dark green color,226,2,3h direct morning sun,21,41.4,Organic,45,None,Moderate,21.3,Loamy,5
Anthurium andraeanum,42.45,7,2,Leaf drop,277,4,Low light corner,18.7,30.2,Compost,57,Spider mites,High,16.5,Chalky,2
Epipremnum aureum,26.66,31,0,Wilting,240,3,3h direct morning sun,24.3,45.2,None,94,Aphids,None,57.3,Chalky,1
Philodendron hederaceum,21.17,20,3,None,209,5,Filtered sunlight through curtain,29.4,35.4,Liquid feed,70,Aphids,Moderate,45.6,Silty,4
Begonia maculata,29.5,19,8,Dark green color,443,3,3h direct morning sun,32,53.6,Chemical,80,Whiteflies,None,47.1,Loamy,5
Spathiphyllum wallisii,26.98,39,0,Brittle leaves,316,3,Indirect light all day,24.3,63.9,Chemical,82,Whiteflies,Low,35,Chalky,3
Epipremnum aureum,9.29,16,1,Strong stem,407,6,Filtered sunlight through curtain,27.4,73.7,Chemical,38,Aphids,High,33.7,Chalky,3
Tradescantia zebrina,24.84,45,8,Brittle leaves,375,2,Low light corner,24.7,67.5,Chemical,2,Aphids,None,15.5,Silty,4
Zamioculcas zamiifolia,23.99,48,1,New bud,428,1,Filtered sunlight through curtain,25.5,76.9,None,29,Spider mites,None,38,Silty,2
Nephrolepis exaltata,19.56,30,2,Yellowing leaves,239,3,Filtered sunlight through curtain,23,32.7,Organic,34,Aphids,High,22.3,Silty,1
Begonia maculata,35.36,38,6,Wilting,224,4,Low light corner,24.6,30.6,None,56,None,Moderate,58.9,Silty,5
Calathea orbifolia,17.14,27,2,None,339,1,Low light corner,25.6,63.1,Compost,28,Spider mites,None,49.8,Sandy,1
Peperomia obtusifolia,29.56,35,8,New bud,406,4,Indirect light all day,22.3,44.5,None,49,Aphids,High,30.6,Clay,5
Epipremnum aureum,23.52,24,5,Yellowing leaves,194,4,Low light corner,23.8,42.7,None,61,Spider mites,Low,17.6,Chalky,3
Monstera deliciosa,26.08,16,2,None,281,1,6h full sun,23.8,46.5,Compost,51,Spider mites,Low,49.3,Peaty,1
Monstera deliciosa,29.12,27,8,None,409,1,6h full sun,26.5,43.5,None,13,Fungus gnats,High,16.1,Silty,4
Epipremnum aureum,11.92,8,0,None,487,4,Indirect light all day,20.8,55.6,Organic,34,Whiteflies,None,19.5,Clay,2
Aloe vera,26.92,27,9,Wilting,253,2,3h direct morning sun,23.8,52,Liquid feed,27,Spider mites,High,20.6,Silty,4
Begonia maculata,47.89,5,2,New bud,262,5,3h direct morning sun,29.7,55.6,Compost,57,Spider mites,High,37.8,Clay,2
Nephrolepis exaltata,9.43,29,0,None,89,6,6h full sun,27.5,63.6,Chemical,29,Fungus gnats,None,49.4,Peaty,1
Aloe vera,24.42,6,1,Brittle leaves,324,5,Low light corner,28,49.4,Organic,89,Aphids,Moderate,25.7,Loamy,1
Philodendron hederaceum,36.23,34,7,New bud,372,2,Indirect light all day,24.1,42.6,Liquid feed,6,Spider mites,Moderate,14.2,Sandy,2
Monstera deliciosa,28.02,7,6,Dark green color,131,6,3h direct morning sun,25,38.3,Organic,38,Fungus gnats,Low,33.2,Chalky,3
Ficus lyrata,31.88,25,1,Brittle leaves,230,1,3h direct morning sun,27,47.5,Organic,94,None,Moderate,47.4,Loamy,5
Dracaena trifasciata,1.24,29,1,Wilting,369,6,Filtered sunlight through curtain,28.7,67.1,Chemical,68,Fungus gnats,High,21.1,Peaty,4
Begonia maculata,30.98,24,8,None,132,4,6h full sun,18.1,67.8,Liquid feed,34,Whiteflies,None,21,Sandy,4
Ficus lyrata,17.38,26,5,New bud,352,5,Low light corner,20.1,63.3,Organic,51,Whiteflies,Low,57.4,Sandy,4
Begonia maculata,28.1,25,4,Leaf drop,311,6,Indirect light all day,27.9,41.7,Chemical,13,Aphids,Moderate,57.7,Sandy,1
Tradescantia zebrina,24.71,37,9,Wilting,321,4,3h direct morning sun,23.2,59.4,Compost,62,Aphids,High,59.5,Peaty,4
Begonia maculata,47.78,42,5,New bud,249,2,Filtered sunlight through curtain,22,58.5,Chemical,35,Whiteflies,Low,50.4,Silty,5
Nephrolepis exaltata,30.47,19,8,Dark green color,289,6,6h full sun,20.2,54.2,None,90,Whiteflies,None,19.4,Silty,5
Epipremnum aureum,23.87,19,6,None,451,4,6h full sun,22.3,57.5,Chemical,23,Spider mites,Moderate,20.6,Silty,2
Epipremnum aureum,9.9,29,9,Yellowing leaves,229,2,Indirect light all day,19.8,54.6,Chemical,39,Whiteflies,High,27,Loamy,1
Calathea orbifolia,26.21,25,9,None,481,1,3h direct morning sun,30.3,58.3,Chemical,28,Aphids,None,25.9,Chalky,5
Spathiphyllum wallisii,33.23,28,8,Yellowing leaves,220,2,Indirect light all day,23.9,65.8,Organic,52,Whiteflies,High,57.8,Sandy,3
Anthurium andraeanum,24.19,9,3,Leaf drop,344,2,Indirect light all day,23.8,35.5,Liquid feed,21,Aphids,High,49.5,Sandy,1
Monstera deliciosa,19.94,10,1,Wilting,226,5,Filtered sunlight through curtain,25.8,67.5,Chemical,71,None,High,46.2,Loamy,1
Sansevieria cylindrica,19.27,47,7,Dark green color,418,4,6h full sun,26.9,36.8,Chemical,14,Whiteflies,None,19.3,Silty,5
Monstera deliciosa,30.35,48,3,New bud,445,6,Low light corner,26.8,33.3,None,68,Aphids,Low,55.5,Sandy,3
Dracaena trifasciata,32.59,27,8,New bud,286,5,6h full sun,27.2,78.8,None,63,Fungus gnats,High,51.4,Sandy,2
Peperomia obtusifolia,38.61,8,3,Yellowing leaves,187,3,6h full sun,22.1,77.8,Compost,3,Spider mites,Low,18.2,Peaty,5
Dracaena trifasciata,15.05,31,7,Dark green color,376,2,Filtered sunlight through curtain,23.1,33,Compost,74,Aphids,Low,53.6,Clay,3
Anthurium andraeanum,30.26,22,8,Brittle leaves,415,3,Low light corner,26.3,52.2,None,17,Whiteflies,Moderate,23.6,Loamy,1
Aglaonema commutatum,23.78,25,8,Leaf drop,360,5,3h direct morning sun,22.4,39.3,Liquid feed,41,Whiteflies,Moderate,14,Loamy,3
Anthurium andraeanum,24.08,32,9,Yellowing leaves,178,4,Low light corner,24,54.3,Compost,29,None,Low,42.8,Silty,1
Begonia maculata,29.02,39,3,Yellowing leaves,98,5,3h direct morning sun,25.2,71.5,Liquid feed,14,Fungus gnats,Moderate,42.7,Loamy,5
Nephrolepis exaltata,29.08,26,0,Leaf drop,213,4,Low light corner,26.4,77.5,None,69,Aphids,Moderate,14.7,Silty,5
Aloe vera,30.29,44,2,Wilting,326,4,Indirect light all day,18.7,61.7,Compost,54,Fungus gnats,Low,25.9,Peaty,4
Spathiphyllum wallisii,14.43,27,8,New bud,342,1,Low light corner,26.1,47.7,Chemical,52,None,None,59.6,Peaty,4
Dieffenbachia seguine,17.5,7,3,Wilting,165,2,Filtered sunlight through curtain,23.3,60.2,None,15,Spider mites,Moderate,43.9,Chalky,4
Monstera deliciosa,39.86,44,4,Dark green color,73,5,3h direct morning sun,26.1,45.6,Compost,72,Fungus gnats,Moderate,46.5,Silty,5
Codiaeum variegatum,22.79,14,6,Brittle leaves,360,4,6h full sun,26.3,75.5,Liquid feed,33,None,None,20.6,Peaty,2
Codiaeum variegatum,28.06,29,4,None,74,5,Filtered sunlight through curtain,28.8,73.5,Liquid feed,26,Aphids,None,13.9,Silty,5
Chlorophytum comosum,35.55,12,3,Strong stem,440,5,3h direct morning sun,28.1,57.9,Compost,12,Spider mites,None,23.8,Loamy,3
Codiaeum variegatum,29.63,15,1,Strong stem,176,4,3h direct morning sun,28,46.2,Liquid feed,99,Whiteflies,Low,22.4,Chalky,5
Monstera deliciosa,30.47,9,1,Strong stem,283,6,6h full sun,28.3,44.7,Compost,26,None,None,21.7,Clay,5
Philodendron hederaceum,33.95,49,3,Leaf drop,258,3,Indirect light all day,24.9,31.7,Compost,72,Whiteflies,Low,19.6,Sandy,1
Monstera deliciosa,3.83,41,9,Yellowing leaves,142,2,Filtered sunlight through curtain,24.1,70.8,Liquid feed,68,Spider mites,High,38.7,Sandy,1
Dieffenbachia seguine,20.1,49,9,Brittle leaves,143,2,6h full sun,26.6,52.5,Organic,85,None,High,26.4,Chalky,1
Aloe vera,29.69,42,8,Wilting,376,6,6h full sun,26.2,46.3,Chemical,30,None,None,51,Silty,5
Peperomia obtusifolia,38.88,33,7,None,274,1,Indirect light all day,23.1,53.6,None,2,Spider mites,None,19.2,Silty,2
Calathea orbifolia,25.66,9,2,New bud,427,6,Filtered sunlight through curtain,25.2,70.9,Chemical,29,Aphids,High,33.2,Silty,3
Codiaeum variegatum,16.55,13,8,Strong stem,329,1,6h full sun,23.9,36.2,None,20,None,Low,10.7,Clay,3
Calathea orbifolia,16.82,6,4,Wilting,60,1,Indirect light all day,21.4,72.9,None,98,Spider mites,Low,34.1,Sandy,2
Epipremnum aureum,33.84,5,2,Strong stem,378,6,Filtered sunlight through curtain,27.9,74.9,Chemical,5,Fungus gnats,None,12.8,Chalky,2
Calathea orbifolia,22.82,44,4,Brittle leaves,61,2,Low light corner,24.2,77.3,Compost,91,Whiteflies,None,58.9,Silty,3
Begonia maculata,24.93,34,9,Strong stem,84,3,3h direct morning sun,30.1,49.9,Liquid feed,31,None,None,49.5,Peaty,4
Codiaeum variegatum,31.15,15,3,New bud,496,2,Indirect light all day,19.1,40.9,Organic,41,Fungus gnats,High,34.5,Loamy,1
Zamioculcas zamiifolia,-4.02,32,7,None,277,2,3h direct morning sun,22.3,48.7,Organic,61,None,Moderate,14.3,Clay,1
Tradescantia zebrina,45,48,4,Dark green color,269,2,Low light corner,24.1,46.6,Organic,88,Aphids,None,39.6,Silty,3
Tradescantia zebrina,17.69,16,9,Dark green color,490,6,6h full sun,27.4,38.8,Chemical,31,Spider mites,Low,47.9,Sandy,2
Ficus lyrata,27.42,43,7,Brittle leaves,190,6,6h full sun,25.2,60.4,Chemical,98,None,Moderate,19.5,Loamy,4
Dracaena trifasciata,7.95,30,8,Dark green color,72,6,Filtered sunlight through curtain,24.9,53.8,Compost,85,Spider mites,Low,38.4,Chalky,3
Dracaena trifasciata,20.77,17,3,Leaf drop,132,2,Indirect light all day,20.6,73.3,Organic,87,None,Moderate,50.7,Silty,1
Zamioculcas zamiifolia,37.45,12,6,Yellowing leaves,278,3,Indirect light all day,20.5,31.6,Compost,38,Aphids,High,48.4,Sandy,5
Sansevieria cylindrica,5.84,32,1,Leaf drop,472,1,Filtered sunlight through curtain,25,62.2,Organic,63,Aphids,Moderate,50.1,Loamy,2
Schefflera arboricola,36.26,34,5,Wilting,393,5,3h direct morning sun,19.9,68.1,Chemical,29,Fungus gnats,Low,54,Peaty,5
Chlorophytum comosum,22.26,13,7,Leaf drop,129,1,6h full sun,22.4,68,Liquid feed,62,Aphids,Moderate,56.9,Clay,3
Zamioculcas zamiifolia,29.87,43,6,Wilting,402,1,6h full sun,25.5,74.3,Liquid feed,95,Spider mites,High,30.3,Chalky,1
Nephrolepis exaltata,31.58,35,6,Wilting,445,5,Indirect light all day,21.1,66.5,Liquid feed,30,Aphids,Low,38.4,Sandy,4
Nephrolepis exaltata,29.41,25,7,Yellowing leaves,339,2,Indirect light all day,28.8,76.4,Liquid feed,86,None,None,49.5,Peaty,5
